价格,面积,编号,户型,楼层,朝向,位置1,位置2,小区,地铁
1150,11,64945-C,3室1卫,9/16层,西南,洪山区,关山大道,光谷智慧城,地铁：距11号线关山大道站550米
1050,14,151616-D,4室1卫,7/16层,南,武昌区,丁字桥路,沈家湾花园小区,地铁：距11号线丁字桥路站100米
1090,13,131429-B,4室1卫,3/7层,南,洪山区,光谷广场,紫菘花园,"地铁：距2号线,11号线光谷广场站650米"
1300,16,137220-B,4室1卫,6/26层,南,洪山区,光谷广场,新域柠檬特区,"地铁：距2号线,11号线光谷广场站250米"
1260,19,143993-B,3室1卫,2/7层,南,洪山区,光谷广场,当代雅典苑,"地铁：距2号线,11号线光谷广场站400米"
1200,12,19045-C,3室1卫,6/32层,南,江夏区,秀湖,万科红郡,地铁：距2号线秀湖站1150米
1120,13,138691-B,3室1卫,6/10层,东南,洪山区,光谷大道,SBI创业街,地铁：距2号线光谷大道站750米
1180,13,28365-C,4室1卫,4/11层,南,洪山区,光谷软件园,江南家园,地铁：距11号线关山大道站2250米
1130,12,146543-D,4室1卫,15/33层,南,洪山区,杨家湾,金地天悦睿府,地铁：距2号线杨家湾站1250米
1120,9,77970-D,4室1卫,17/32层,南,洪山区,光谷广场,健龙尚谷杰座一期,"地铁：距2号线,11号线光谷广场站650米"
1170,11,118675-A,3室1卫,3/33层,南,洪山区,光谷广场,金地雄楚一号,地铁：距2号线杨家湾站1200米
1150,12,16394-C,3室1卫,13/33层,南,洪山区,光谷广场,金地雄楚一号,地铁：距2号线杨家湾站1200米
1270,20,157138-A,4室1卫,3/32层,南,洪山区,关山大道,泷悦华府,地铁：距11号线关山大道站750米
1020,14,65720-C,3室1卫,3/5层,东北,武昌区,武昌火车站,紫阳村小区,"地铁：距4号线,7号线,11号线,12号线武昌火车站站600米"
1430,19,23574-D,4室1卫,26/34层,南,洪山区,光谷软件园,融科天域,地铁：距2号线黄龙山路站1800米
1230,22,16650-D,4室1卫,4/7层,南,洪山区,光谷大道,金梭花园,地铁：距2号线光谷大道站650米
1220,14,61889-A,3室1卫,18/33层,南,洪山区,光谷广场,金地天悦,地铁：距2号线杨家湾站1450米
1090,13,15597-C,4室1卫,6/9层,北,洪山区,马房山,圆梦美丽家园二期,"地铁：距8号线,11号线马房山站300米"
1140,12,148966-A,4室1卫,4/33层,南,洪山区,杨家湾,金地天悦睿府,地铁：距2号线杨家湾站1250米
1050,15,129941-C,4室1卫,4/7层,南,洪山区,光谷广场,绿之苑,"地铁：距2号线,11号线光谷广场站850米"
1180,13,14531-D,5室2卫,18/24层,南,武昌区,十五中,凯乐花园,地铁：距12号线十五中站350米
1160,11,32219-C,4室1卫,3/6层,南,江夏区,金融港北,万科城市花园,地铁：距2号线金融港北站1300米
1210,12,18988-C,3室1卫,8/33层,南,洪山区,光谷广场,金地天悦,地铁：距2号线杨家湾站1450米
1320,14,44524-A,3室1卫,13/32层,南,洪山区,光谷广场,金地天悦,地铁：距2号线杨家湾站1450米
1240,12,20582-C,3室1卫,28/32层,南,洪山区,光谷广场,金地天悦,地铁：距2号线杨家湾站1450米
1300,12,24334-B,3室1卫,27/33层,南,武昌区,丁字桥路,长投珑庭,地铁：距11号线丁字桥路站350米
1220,13,27226-B,4室1卫,2/11层,南,洪山区,光谷软件园,江南家园,地铁：距11号线关山大道站2250米
1260,12,146791-C,3室1卫,29/33层,南,洪山区,杨家湾,金地天悦睿府,地铁：距2号线杨家湾站1250米
1150,12,54098-D,4室1卫,6/11层,南,武昌区,梅苑小区,红鑫佳园,地铁：距4号线梅苑小区站150米
1270,12,19096-C,4室1卫,10/18层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1140,11,114667-C,4室1卫,4/7层,南,洪山区,珞雄路,当代花园东方巴黎苑,地铁：距2号线珞雄路站950米
1130,10,137582-B,5室1卫,4/7层,南,洪山区,光谷广场,武汉工程大学职工宿舍,"地铁：距2号线,11号线光谷广场站500米"
1200,14,149125-A,4室1卫,13/33层,南,洪山区,杨家湾,金地天悦睿府,地铁：距2号线杨家湾站1250米
1130,10,60448-C,4室1卫,4/6层,南,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1050,12,70653-C,3室1卫,5/31层,南,洪山区,杨家湾,保利拉菲,地铁：距2号线杨家湾站1250米
1200,13,54739-B,3室1卫,4/18层,南,洪山区,杨家湾,保利华都,地铁：距2号线杨家湾站400米
1160,12,150234-C,3室1卫,12/33层,南,江夏区,光谷火车站,统建天成美景,"地铁：距11号线,2号线光谷火车站站400米"
1160,10,35248-B,4室1卫,11/11层,南,洪山区,光谷软件园,中建康城,地铁：距2号线金融港北站1600米
1120,13,72703-B,3室1卫,6/11层,南,洪山区,平安路,水域天际,地铁：距12号线平安路站600米
1280,12,76425-B,4室1卫,24/32层,南,武昌区,小洪山,银海华庭,地铁：距8号线小洪山站150米
1150,10,77390-C,3室1卫,3/11层,南,洪山区,光谷软件园,清江山水,地铁：距2号线金融港北站2300米
1040,13,131828-C,3室1卫,14/26层,南,洪山区,虎泉,城投瀚城,地铁：距2号线杨家湾站1400米
1020,14,70205-A,4室1卫,4/6层,东,武昌区,瑞安街,中央花园碧云天,地铁：距7号线瑞安街站500米
1130,14,67078-A,3室1卫,3/8层,东,洪山区,光谷广场,鲁巷科技苑,"地铁：距2号线,11号线光谷广场站550米"
1240,11,19098-A,3室1卫,4/24层,东,洪山区,光谷大道,南益巴黎豪庭,地铁：距2号线光谷大道站400米
1340,11,77500-B,3室1卫,6/11层,南,江夏区,秀湖,现代森林小镇,地铁：距2号线秀湖站800米
1290,11,131414-C,3室1卫,24/28层,南,洪山区,杨家湾,保利华都,地铁：距2号线杨家湾站400米
1100,10,70873-D,4室1卫,2/12层,南,洪山区,佳园路,现代森林花园,地铁：距2号线佳园路站950米
1180,14,19206-B,3室1卫,3/18层,西南,武昌区,武昌火车站,凯旋名邸,"地铁：距4号线,7号线,11号线,12号线武昌火车站站850米"
1120,10,55066-B,4室1卫,15/42层,东南,武昌区,丁字桥路,百瑞景中央生活区六期,地铁：距11号线丁字桥路站500米
1360,22,49461-D,4室1卫,3/11层,南,江夏区,光谷火车站,光谷陆景苑,"地铁：距11号线,2号线光谷火车站站1100米"
1030,8,15882-C,3室1卫,3/34层,南,武昌区,丁字桥路,百瑞景中央生活区二期东区,地铁：距11号线丁字桥路站700米
1110,10,131000-A,3室1卫,30/33层,南,洪山区,光谷广场,金地雄楚一号,地铁：距2号线杨家湾站1200米
1140,15,122267-A,3室1卫,3/6层,南,洪山区,光谷广场,华乐苑,"地铁：距2号线,11号线光谷广场站650米"
1050,16,150223-C,4室1卫,5/6层,南,武昌区,瑞安街,南湖花园城-祥和苑,地铁：距7号线瑞安街站500米
1130,19,18787-D,4室1卫,2/3层,南,武昌区,梅苑小区,丁字桥27号,地铁：距4号线梅苑小区站750米
1310,20,21798-A,4室1卫,7/25层,南,洪山区,关山大道,紫菘枫林上城,地铁：距11号线关山大道站1050米
1320,16,25071-D,4室1卫,31/32层,西,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
1090,8,30175-D,4室1卫,10/45层,西,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1400,23,157246-C,4室1卫,5/6层,南,洪山区,华中科技大学,卧龙剑桥春天,地铁：距2号线华中科技大学站350米
1170,15,60991-B,3室1卫,9/31层,南,洪山区,光谷广场,金地雄楚一号,地铁：距2号线杨家湾站1200米
1080,9,32858-D,4室1卫,3/26层,南,洪山区,光谷广场,新域柠檬特区,"地铁：距2号线,11号线光谷广场站250米"
960,12,56603-D,5室1卫,14/33层,东南,洪山区,洪山区政府,中建福地星城,地铁：距8号线洪山区政府站650米
1090,10,16065-C,4室1卫,10/11层,北,洪山区,光谷软件园,芭比伦堡,地铁：距2号线金融港北站1850米
1110,16,17656-C,4室1卫,3/8层,南,武昌区,小东门,武昌长春小区,地铁：距7号线小东门站400米
1370,15,19172-A,3室1卫,21/34层,西,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
1260,16,147092-A,4室1卫,7/11层,北,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1170,15,16078-A,3室1卫,22/33层,南,洪山区,光谷广场,金地天悦,地铁：距2号线杨家湾站1450米
1150,18,55517-A,3室1卫,3/11层,南,洪山区,文昌路,宝安璞园二期,地铁：距8号线文昌路站800米
1140,16,24958-A,3室1卫,2/32层,南,洪山区,光谷广场,金地天悦,地铁：距2号线杨家湾站1450米
1130,9,17644-C,4室1卫,34/45层,西,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1150,13,17073-C,4室1卫,3/22层,南,武昌区,武昌火车站,凯旋名邸,"地铁：距4号线,7号线,11号线,12号线武昌火车站站850米"
1330,22,64923-A,3室1卫,13/21层,南,洪山区,光谷广场,洪福家园,"地铁：距2号线,11号线光谷广场站900米"
1520,19,57756-D,4室1卫,4/6层,南,洪山区,关山大道,明珠花园,地铁：距11号线关山大道站250米
1050,12,74366-B,3室1卫,5/8层,南,武昌区,武昌火车站,武汉铁路大东门住宅小区,"地铁：距4号线,7号线,11号线,12号线武昌火车站站550米"
1340,19,16394-B,3室1卫,13/33层,南,洪山区,光谷广场,金地雄楚一号,地铁：距2号线杨家湾站1200米
1110,10,132029-B,4室1卫,7/32层,东北,武昌区,宝通寺,岭地金居,地铁：距2号线宝通寺站500米
1030,14,54331-D,4室1卫,5/7层,南,武昌区,武昌火车站,武汉铁路大东门住宅小区,"地铁：距4号线,7号线,11号线,12号线武昌火车站站550米"
1290,16,63095-B,3室1卫,7/32层,南,洪山区,虎泉,领秀城,"地铁：距2号线,11号线虎泉站750米"
1000,15,70274-B,3室1卫,3/7层,南,洪山区,建安街,华锦花园三期,地铁：距7号线建安街站350米
940,7,38048-A,4室1卫,8/16层,南,洪山区,珞雄路,广厦华庭,地铁：距2号线珞雄路站550米
1270,14,26279-A,3室1卫,12/17层,东南,洪山区,马房山,狮城翰园,"地铁：距8号线,11号线马房山站650米"
1090,11,42770-C,4室1卫,16/17层,北,洪山区,珞雄路,广厦华庭,地铁：距2号线珞雄路站550米
1150,17,144377-B,3室1卫,5/7层,南,洪山区,珞雄路,当代花园东方巴黎苑,地铁：距2号线珞雄路站950米
1290,17,67159-B,3室1卫,3/7层,南,武昌区,宝通寺,竹苑小区,地铁：距2号线宝通寺站600米
1100,8,19642-A,4室1卫,14/34层,东北,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1140,14,67088-A,4室1卫,21/26层,西,洪山区,光谷广场,新域柠檬特区,"地铁：距2号线,11号线光谷广场站250米"
1070,14,151987-A,4室1卫,5/7层,东北,洪山区,光谷广场,鲁巷科技苑,"地铁：距2号线,11号线光谷广场站550米"
1110,17,74633-B,4室1卫,5/8层,南,武昌区,丁字桥路,银海花园南区,地铁：距11号线丁字桥路站400米
1160,11,131371-C,4室1卫,17/45层,北,洪山区,关山大道,五角西岸,地铁：距11号线关山大道站900米
1300,11,132610-C,3室1卫,38/40层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1210,11,132649-C,4室1卫,11/29层,南,洪山区,华中科技大学,琨瑜府,地铁：距2号线华中科技大学站450米
1290,12,49003-B,4室1卫,10/34层,南,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1020,18,131058-B,3室1卫,2/16层,南,洪山区,洪山区政府,明泽半岛尊邸,地铁：距8号线洪山区政府站850米
1100,12,138762-D,4室1卫,23/23层,南,洪山区,杨家湾,武汉警官职业学院武昌校区,地铁：距2号线杨家湾站650米
1090,8,19145-D,4室1卫,42/45层,西北,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1100,9,138850-B,4室1卫,23/35层,西南,洪山区,关山大道,万科锦程,地铁：距11号线关山大道站500米
1160,12,62293-B,4室1卫,2/33层,东,武昌区,丁字桥路,长投珑庭,地铁：距11号线丁字桥路站350米
1200,12,49424-B,3室1卫,5/33层,西南,洪山区,光谷广场,金地中心城,地铁：距2号线杨家湾站1250米
1330,15,49276-C,4室1卫,6/25层,南,洪山区,光谷软件园,清江山水,地铁：距2号线金融港北站2300米
1390,11,79971-B,3室1卫,8/30层,西北,江夏区,金融港北,当代国际花园四期,地铁：距2号线金融港北站350米
1210,12,74301-B,4室1卫,6/11层,东,洪山区,光谷软件园,山水华庭,地铁：距11号线关山大道站2450米
1350,14,75550-B,3室1卫,4/6层,东,江夏区,金融港北,万科城市花园,地铁：距2号线金融港北站1300米
1480,18,128312-A,3室1卫,23/29层,南,洪山区,杨家湾,保利华都,地铁：距2号线杨家湾站400米
1340,13,141207-B,3室1卫,5/11层,南,江夏区,秀湖,现代森林小镇,地铁：距2号线秀湖站800米
1420,15,20734-C,3室1卫,12/34层,西北,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
1300,10,131216-A,4室1卫,4/31层,东,洪山区,光谷软件园,长城坐标城,地铁：距2号线黄龙山路站1600米
1480,13,50514-A,3室1卫,30/31层,西南,洪山区,广埠屯,融科珞瑜中心,地铁：距2号线广埠屯站400米
1350,13,75736-C,3室1卫,23/28层,西南,洪山区,虎泉,凯乐桂园,"地铁：距2号线,11号线虎泉站200米"
960,10,57955-A,3室1卫,6/18层,南,武昌区,瑞安街,027社区,地铁：距7号线瑞安街站550米
1160,13,40096-A,2室1卫,4/8层,北,武昌区,梅苑小区,方海公寓,地铁：距4号线梅苑小区站150米
1110,8,56423-C,4室1卫,18/34层,西,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
1120,11,14960-C,3室1卫,4/32层,南,洪山区,光谷广场,金地天悦,地铁：距2号线杨家湾站1450米
1060,9,60867-C,4室1卫,4/11层,北,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1070,9,67758-B,4室1卫,2/11层,北,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
900,12,134070-B,4室1卫,3/7层,南,武昌区,中央花园,松涛苑D区,地铁：距12号线中央花园站500米
1180,12,28982-A,4室1卫,2/18层,东,洪山区,光谷软件园,清江山水,地铁：距2号线金融港北站2300米
1220,17,78015-A,4室1卫,17/33层,南,洪山区,光谷广场,金地中心城,地铁：距2号线杨家湾站1250米
1000,10,137529-B,4室1卫,7/42层,北,洪山区,洪山区政府,中建南湖壹号,地铁：距8号线洪山区政府站550米
1530,16,157566-C,4室1卫,19/33层,南,洪山区,关山大道,泷悦华府,地铁：距11号线关山大道站750米
1510,14,143057-C,3室1卫,23/30层,南,洪山区,街道口,鹏程蕙园,地铁：距2号线街道口站350米
1150,14,28949-B,3室1卫,3/8层,东,武昌区,梅苑小区,梅苑小区,地铁：距4号线梅苑小区站150米
1200,20,156192-B,5室1卫,1/7层,东北,洪山区,关山大道,金地太阳城,地铁：距11号线关山大道站700米
950,10,54450-C,4室1卫,3/11层,南,洪山区,文昌路,金地格林小城美茵区,地铁：距8号线文昌路站300米
1230,9,44309-C,4室1卫,28/34层,东北,洪山区,光谷软件园,金地格林东郡,地铁：距11号线关山大道站1450米
1180,24,128475-D,4室1卫,3/12层,南,洪山区,虎泉,学雅芳邻,"地铁：距2号线,11号线虎泉站800米"
1450,19,139980-C,4室1卫,2/7层,南,洪山区,佳园路,学府佳园,地铁：距2号线佳园路站400米
970,11,39940-B,5室1卫,28/29层,南,武昌区,丁字桥路,弘业俊园,地铁：距11号线丁字桥路站200米
1160,12,60848-D,4室1卫,22/31层,东南,洪山区,虎泉,领秀城,"地铁：距2号线,11号线虎泉站750米"
1320,21,72220-B,3室1卫,2/8层,南,洪山区,光谷广场,鲁巷科技苑,"地铁：距2号线,11号线光谷广场站550米"
1080,13,122906-C,3室1卫,17/33层,西,洪山区,光谷软件园,卡迪亚公馆,地铁：距2号线杨家湾站2950米
1180,12,150477-B,4室1卫,22/31层,西,洪山区,虎泉,领秀城,"地铁：距2号线,11号线虎泉站750米"
1120,9,53752-C,3室1卫,30/34层,东北,洪山区,佳园路,金鑫国际,地铁：距2号线佳园路站750米
1150,8,147092-B,4室1卫,7/11层,北,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1240,12,123348-A,3室1卫,13/32层,北,洪山区,光谷广场,健龙尚谷杰座一期,"地铁：距2号线,11号线光谷广场站650米"
1310,16,132117-A,3室1卫,5/7层,北,洪山区,马房山,狮城公寓,"地铁：距8号线,11号线马房山站550米"
1200,11,137715-D,4室1卫,11/12层,东北,洪山区,关山大道,保利花园,地铁：距11号线关山大道站300米
1220,19,17624-C,3室1卫,14/16层,南,洪山区,马房山,狮城名居,"地铁：距8号线,11号线马房山站550米"
1070,7,25459-A,3室1卫,11/28层,南,洪山区,关山大道,逸景华庭,地铁：距11号线关山大道站300米
1220,10,39462-C,3室1卫,14/16层,西,洪山区,光谷软件园,中建康城,地铁：距2号线金融港北站1600米
970,13,55455-A,4室1卫,14/31层,南,洪山区,平安路,招商雍华府,地铁：距12号线平安路站150米
1010,9,60131-D,4室1卫,2/8层,南,武昌区,梅苑小区,梅苑小区,地铁：距4号线梅苑小区站150米
1120,11,60158-B,3室1卫,17/18层,西南,武昌区,武昌火车站,站前阳光,"地铁：距4号线,7号线,11号线,12号线武昌火车站站650米"
1030,15,59543-C,4室1卫,19/27层,东,武昌区,丁字桥路,雄楚春天,地铁：距11号线丁字桥路站550米
1100,9,138168-C,3室1卫,7/26层,南,洪山区,杨家湾,保利华都,地铁：距2号线杨家湾站400米
1000,12,21297-B,5室1卫,3/12层,西南,洪山区,虎泉,绿汀雅境,地铁：距2号线杨家湾站1050米
980,14,153841-B,3室1卫,3/6层,西南,武昌区,中央花园,中央花园红杜里,地铁：距12号线中央花园站100米
980,10,41693-A,4室1卫,12/18层,南,洪山区,平安路,南湖名都a区,地铁：距12号线平安路站350米
950,8,45098-A,4室1卫,6/16层,东,洪山区,马房山,狮城名居,"地铁：距8号线,11号线马房山站550米"
1000,14,42789-B,3室1卫,3/5层,西南,武昌区,武昌火车站,紫阳村小区,"地铁：距4号线,7号线,11号线,12号线武昌火车站站600米"
1150,11,75385-D,4室1卫,4/35层,西南,武昌区,丁字桥路,向阳佳苑A区,地铁：距11号线丁字桥路站500米
1230,9,131179-A,3室1卫,26/35层,东,洪山区,关山大道,保利时代,地铁：距11号线关山大道站750米
1150,8,143964-A,4室1卫,17/34层,南,洪山区,杨家湾,保利华都,地铁：距2号线杨家湾站400米
1430,12,138799-B,2室1卫,24/28层,东,洪山区,虎泉,万科主场,"地铁：距8号线,11号线马房山站750米"
1200,21,71642-A,3室1卫,4/5层,南,洪山区,光谷广场,绿之苑,"地铁：距2号线,11号线光谷广场站850米"
1090,13,80044-C,3室1卫,12/25层,南,汉阳区,龙阳村,汉阳人信汇,地铁：距3号线龙阳村站150米
1150,12,134073-A,4室1卫,12/33层,北,洪山区,光谷广场,金地中心城,地铁：距2号线杨家湾站1250米
1070,11,69814-C,3室1卫,27/41层,南,江汉区,汉口火车站,远洋心汉口御峰,地铁：距2号线汉口火车站站1000米
1060,13,18753-B,3室1卫,25/28层,南,洪山区,铁机路,花畔里,地铁：距4号线铁机路站550米
1430,18,147139-A,3室1卫,3/4层,东北,江夏区,金融港北,万科城市花园,地铁：距2号线金融港北站1300米
1100,20,65430-B,4室1卫,22/23层,南,洪山区,光谷软件园,锦绣龙城A区,地铁：距2号线金融港北站3100米
1100,13,73129-B,2室1卫,2/6层,南,武昌区,新生路,幸福里社区,地铁：距5号线新生路站200米
1010,8,49424-C,3室1卫,5/33层,西,洪山区,光谷广场,金地中心城,地铁：距2号线杨家湾站1250米
1070,13,24451-C,4室1卫,3/7层,南,江汉区,三眼桥,穗丰花园四期,地铁：距6号线三眼桥站100米
1070,10,135180-A,3室1卫,26/34层,东南,武昌区,丁字桥路,百瑞景中央生活区二期东区,地铁：距11号线丁字桥路站700米
1020,11,44771-C,3室1卫,31/33层,南,汉阳区,玉龙路,王家湾中央生活区,地铁：距4号线玉龙路站400米
1050,12,130842-D,4室1卫,4/12层,南,汉阳区,龙阳村,汉阳人信汇二期天悦,地铁：距3号线龙阳村站350米
1030,10,29330-A,3室1卫,5/34层,南,江夏区,湖口,万科嘉园光谷的光,地铁：距11号线湖口站1100米
1010,11,41356-B,4室1卫,3/8层,北,洪山区,光谷广场,鲁巷科技苑,"地铁：距2号线,11号线光谷广场站550米"
970,17,139261-A,4室1卫,4/7层,南,武昌区,中央花园,松涛苑D区,地铁：距12号线中央花园站500米
1130,12,151336-B,4室1卫,36/48层,南,江汉区,唐家墩,顶琇国际城,地铁：距6号线唐家墩站200米
1050,11,141522-B,4室1卫,31/33层,南,洪山区,铁机路,东湖景园A区,地铁：距4号线铁机路站550米
1040,14,36622-B,4室1卫,8/11层,南,武昌区,岳家嘴,天梨花园,地铁：距4号线岳家嘴站650米
1080,9,48863-D,4室1卫,23/32层,北,洪山区,关山大道,光谷新世界,地铁：距11号线关山大道站650米
1140,13,34058-C,3室1卫,34/45层,南,武昌区,小龟山,群建星城,"地铁：距2号线,12号线小龟山站250米"
1090,14,34110-A,4室1卫,8/33层,南,汉阳区,玉龙路,王家湾中央生活区,地铁：距4号线玉龙路站400米
1110,10,121091-B,5室1卫,9/34层,南,江夏区,佛祖岭,金地艺境,地铁：距2号线佛祖岭站800米
1000,11,15038-B,4室1卫,12/19层,南,武昌区,徐东,佳馨花园二期,地铁：距8号线徐东站600米
1100,13,65947-C,3室1卫,2/8层,南,武昌区,积玉桥,临江府小区,地铁：近2号线积玉桥
1000,13,75621-B,3室1卫,30/33层,南,武昌区,徐东,武铁佳苑,地铁：距8号线徐东站750米
1050,11,129337-A,4室1卫,45/55层,南,汉阳区,马鹦路,世茂锦绣长江五期,地铁：距6号线马鹦路站350米
930,7,157138-C,4室1卫,3/32层,西,洪山区,关山大道,泷悦华府,地铁：距11号线关山大道站750米
1070,11,19646-B,3室1卫,29/34层,南,武昌区,徐家棚,新长江滨江花园,"地铁：距5号线,7号线,8号线徐家棚站200米"
1040,13,53278-A,4室1卫,7/28层,南,洪山区,仁和路,金地自在城,地铁：距4号线仁和路站300米
